
Note: Compatibility modes selected: hs a


Circuit: ** sch_path: /foss/designs/sky130_op_amp/runs/run_2025-10-21_18-52-57/parameters/slew_rate/run_16/transient.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
option SCALE: Scale is set to 1e-06 for instance and model parameters
option SCALE: Scale is set to 1e-06 for instance and model parameters
option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                        1.8
ibias                                 0.679572
vout                               1.22444e-05
vss                                          0
vn                                 1.22444e-05
vp                                           0
x1.a_8862_4192.t27                  0.00095638
x1.en.t0                                   1.8
x1.vss.t311                        9.29224e-05
x1.vss.t215                        5.47293e-05
x1.vdd.t97                                 1.8
x1.vdd.t96                                 1.8
x1.vdd.t44                                 1.8
x1.vdd.t95                                 1.8
x1.vdd.t93                                 1.8
x1.vdd.t94                                 1.8
x1.vdd.t47                                 1.8
x1.a_3868_4185.t39                 1.20883e-05
x1.ibias.t10                          0.679551
x1.a_3329_8823.t39                 1.20896e-05
x1.vss.t0                          1.41414e-05
x1.a_n1962_4406.t59                1.21236e-05
x1.ibias.t11                          0.679551
x1.vout.t21                        1.22395e-05
x1.vss.t6                          1.22059e-05
x1.a_n1962_4406.t58                1.21235e-05
x1.ibias.t12                          0.679551
x1.vout.t53                        1.22396e-05
x1.vss.t211                        5.35351e-05
x1.vss.t209                        5.36946e-05
x1.vss.t210                         6.8632e-05
x1.vss.t30                          5.0137e-05
x1.a_3329_8823.t38                 1.20896e-05
x1.ibias.t13                          0.679551
x1.a_3868_4185.t38                 1.20883e-05
x1.vss.t1                          1.39785e-05
x1.vss.t208                        1.21946e-05
x1.vss.t207                        1.21945e-05
x1.vss.t64                         1.40477e-05
x1.vdd.t92                                 1.8
x1.vdd.t91                                 1.8
x1.vdd.t71                                 1.8
x1.a_3868_4185.t37                 1.20883e-05
x1.ibias.t14                          0.679551
x1.a_3329_8823.t8                  1.20896e-05
x1.vss.t11                         1.38177e-05
x1.a_n735_8972.t23                     1.34748
x1.vp.t0                                     0
x1.a_3329_8823.t56                 1.20896e-05
x1.vss.t2                          1.35493e-05
x1.vss.t310                         1.2114e-05
x1.en.t1                                   1.8
x1.a_n1962_4406.t123               1.21234e-05
x1.vss.t77                         1.22123e-05
x1.a_3868_4185.t36                 1.20882e-05
x1.ibias.t15                          0.679551
x1.a_3329_8823.t17                 1.20896e-05
x1.vss.t7                          1.45162e-05
x1.a_3329_8823.t66                 1.20896e-05
x1.vn.t0                           1.22444e-05
x1.a_n935_8875.t15                     1.34695
x1.vss.t4                          1.36625e-05
x1.vdd.t19                                 1.8
x1.a_n735_8972.t27                     1.34748
x1.vout.t67                        1.22465e-05
x1.vdd.t15                                 1.8
x1.a_n1962_4406.t122               1.21236e-05
x1.en.t2                                   1.8
x1.vss.t309                         1.2114e-05
x1.vss.t8                          1.22113e-05
x1.a_3329_8823.t65                 1.20896e-05
x1.vn.t1                           1.22444e-05
